County,Transaction Year,New,New,New,Used,Used,Used
,,Battery Electric Vehicle (BEV),Hydrogen Powered Vehicle,Plug-in Hybrid Electric Vehicle (PHEV),Battery Electric Vehicle (BEV),Hydrogen Powered Vehicle,Plug-in Hybrid Electric Vehicle (PHEV)
Adams,2015,0,0,1,1,0,2
Adams,2016,0,0,2,1,0,0
Adams,2017,2,0,1,2,0,4
Adams,2018,0,0,2,4,0,4
Adams,2019,2,0,0,4,0,5
Adams,2020,3,0,0,6,0,8
Adams,2021,6,0,1,10,0,12
Adams,2022,6,0,0,20,0,12
Adams,2023,8,0,2,21,0,8
Asotin,2015,0,0,0,3,0,2
Asotin,2016,0,0,1,4,0,2
Asotin,2017,1,0,1,8,0,4
Asotin,2018,2,0,3,10,0,6
Asotin,2019,1,0,0,12,0,10
Asotin,2020,5,0,2,15,0,12
Asotin,2021,2,0,4,18,0,14
Asotin,2022,8,0,3,20,0,15
Asotin,2023,12,0,8,26,0,18
Benton,2015,14,0,20,49,0,52
Benton,2016,13,0,30,64,0,79
Benton,2017,21,0,25,97,0,122
Benton,2018,41,0,48,116,0,151
Benton,2019,60,0,32,167,0,215
Benton,2020,69,0,27,243,0,260
Benton,2021,109,0,55,322,0,294
Benton,2022,176,0,54,430,0,356
Benton,2023,216,0,94,550,0,363
Chelan,2015,13,0,2,23,0,24
Chelan,2016,8,0,3,34,0,22
Chelan,2017,19,0,7,55,0,30
Chelan,2018,31,0,15,78,0,49
Chelan,2019,41,0,10,117,0,67
Chelan,2020,50,0,3,159,0,81
Chelan,2021,63,0,11,234,0,99
Chelan,2022,100,0,21,290,0,116
Chelan,2023,119,0,39,371,0,141
Clallam,2015,9,0,1,28,0,38
Clallam,2016,6,0,4,46,0,48
Clallam,2017,19,0,22,55,0,65
Clallam,2018,32,0,26,84,0,84
Clallam,2019,37,0,17,123,0,110
Clallam,2020,45,0,10,173,0,139
Clallam,2021,70,0,24,221,0,171
Clallam,2022,99,0,28,297,0,198
Clallam,2023,120,0,43,349,0,203
Clark,2015,69,0,42,127,0,136
Clark,2016,72,0,80,195,0,193
Clark,2017,98,0,89,282,0,298
Clark,2018,122,0,140,377,0,393
Clark,2019,178,0,95,541,0,547
Clark,2020,212,0,94,698,0,629
Clark,2021,379,0,167,919,0,786
Clark,2022,573,0,244,1284,0,957
Clark,2023,608,0,277,1596,0,1082
Columbia,2015,0,0,0,0,0,1
Columbia,2016,0,0,0,0,0,1
Columbia,2017,2,0,0,0,0,1
Columbia,2018,0,0,1,2,0,1
Columbia,2019,0,0,1,3,0,2
Columbia,2020,1,0,0,4,0,3
