Make,Transaction Year,EV_Count
ALFA ROMEO,2023,13
AUDI,2019,140
AUDI,2020,214
AUDI,2021,388
AUDI,2022,584
AUDI,2023,768
AZURE DYNAMICS,2019,5
AZURE DYNAMICS,2020,6
AZURE DYNAMICS,2021,5
AZURE DYNAMICS,2022,6
AZURE DYNAMICS,2023,4
BENTLEY,2020,1
BENTLEY,2021,2
BENTLEY,2022,3
BENTLEY,2023,1
BMW,2019,371
BMW,2020,453
BMW,2021,526
BMW,2022,659
BMW,2023,748
CADILLAC,2019,51
CADILLAC,2020,53
CADILLAC,2021,58
CADILLAC,2022,52
CADILLAC,2023,106
CHEVROLET,2019,583
CHEVROLET,2020,611
CHEVROLET,2021,690
CHEVROLET,2022,733
CHEVROLET,2023,724
CHRYSLER,2019,85
CHRYSLER,2020,110
CHRYSLER,2021,154
CHRYSLER,2022,182
CHRYSLER,2023,222
DODGE,2019,1
DODGE,2020,1
DODGE,2023,2
FIAT,2019,53
FIAT,2020,58
FIAT,2021,67
FIAT,2022,69
FIAT,2023,74
FISKER,2019,13
FISKER,2020,11
FISKER,2021,11
FISKER,2022,12
FISKER,2023,11
FORD,2019,292
FORD,2020,296
FORD,2021,418
FORD,2022,649
FORD,2023,802
GENESIS,2022,12
GENESIS,2023,38
HONDA,2019,39
HONDA,2020,71
HONDA,2021,85
HONDA,2022,86
HONDA,2023,82
HYUNDAI,2019,101
HYUNDAI,2020,165
HYUNDAI,2021,269
HYUNDAI,2022,430
HYUNDAI,2023,530
JAGUAR,2019,29
JAGUAR,2020,49
JAGUAR,2021,55
JAGUAR,2022,65
JAGUAR,2023,70
JEEP,2021,22
JEEP,2022,105
JEEP,2023,223
KIA,2019,193
KIA,2020,241
KIA,2021,355
KIA,2022,489
KIA,2023,550
LAND ROVER,2019,3
LAND ROVER,2020,18
LAND ROVER,2021,25
LAND ROVER,2022,24
LAND ROVER,2023,30
LEXUS,2022,17
LEXUS,2023,58
LINCOLN,2020,15
LINCOLN,2021,34
LINCOLN,2022,65
LINCOLN,2023,79
LUCID,2021,2
LUCID,2022,23
LUCID,2023,50
MAZDA,2023,33
MERCEDES-BENZ,2019,84
MERCEDES-BENZ,2020,109
MERCEDES-BENZ,2021,118
MERCEDES-BENZ,2022,187
MERCEDES-BENZ,2023,290
MINI,2019,22
MINI,2020,39
MINI,2021,59
MINI,2022,80
MINI,2023,97
MITSUBISHI,2019,59
MITSUBISHI,2020,61
MITSUBISHI,2021,77
MITSUBISHI,2022,94
MITSUBISHI,2023,99
NISSAN,2019,121
NISSAN,2020,174
NISSAN,2021,286
NISSAN,2022,308
NISSAN,2023,384
POLESTAR,2020,2
POLESTAR,2021,22
POLESTAR,2022,61
POLESTAR,2023,80
PORSCHE,2019,93
PORSCHE,2020,139
PORSCHE,2021,204
PORSCHE,2022,295
PORSCHE,2023,386
RIVIAN,2021,7
RIVIAN,2022,44
RIVIAN,2023,114
SMART,2019,71
SMART,2020,75
SMART,2021,78
SMART,2022,83
SMART,2023,76
SUBARU,2019,11
SUBARU,2020,11
SUBARU,2021,11
SUBARU,2022,22
SUBARU,2023,22
TESLA,2019,788
TESLA,2020,948
TESLA,2021,1102
TESLA,2022,1275
TESLA,2023,1277
TH!NK,2019,3
TH!NK,2020,2
TH!NK,2021,1
TH!NK,2022,2
TH!NK,2023,3
TOYOTA,2019,118
TOYOTA,2020,148
TOYOTA,2021,179
TOYOTA,2022,236
TOYOTA,2023,284
VOLKSWAGEN,2019,95
VOLKSWAGEN,2020,96
VOLKSWAGEN,2021,163
VOLKSWAGEN,2022,250
VOLKSWAGEN,2023,332
VOLVO,2019,223
VOLVO,2020,330
VOLVO,2021,494
VOLVO,2022,812
VOLVO,2023,961
WHEEGO ELECTRIC CARS,2019,3
WHEEGO ELECTRIC CARS,2020,2
WHEEGO ELECTRIC CARS,2021,2
WHEEGO ELECTRIC CARS,2022,2
WHEEGO ELECTRIC CARS,2023,2
