State,County,Make,Model,Longitude,Latitude
WA,Yakima,BMW,X5,-120.477805,46.553505
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,King,SUBARU,SOLTERRA,-122.29179,47.43473
WA,Yakima,FORD,MUSTANG MACH-E,-120.6027202,46.5965625
WA,Whitman,KIA,EV6,-117.17912,46.730885
WA,Chelan,BMW,I4,-120.1531,47.885505
WA,Stevens,TESLA,MODEL Y,-117.90431,48.547075
WA,Snohomish,TESLA,MODEL 3,-122.179458,47.802589
WA,Snohomish,KIA,EV6,-121.972215,47.85674
WA,Snohomish,TESLA,MODEL Y,-122.1876761,47.820517
WA,Snohomish,KIA,EV6,-122.091505,47.915555
WA,King,AUDI,E-TRON,-122.2377542,47.582905
WA,King,RIVIAN,R1T,-122.11832,47.6245
WA,King,TESLA,MODEL 3,-122.3223156,47.6402108
WA,King,FORD,MUSTANG MACH-E,-122.29179,47.43473
WA,Kitsap,JEEP,WRANGLER,-122.65223,47.57192
WA,King,TESLA,MODEL Y,-122.209285,47.71124
WA,King,TESLA,MODEL X,-122.199755,47.37483
WA,Cowlitz,VOLKSWAGEN,ID.4,-122.73125,45.923065
WA,King,TESLA,MODEL Y,-122.12302,47.67668
WA,King,TESLA,MODEL 3,-122.2012521,47.3931814
WA,King,TESLA,MODEL Y,-122.0313266,47.6285782
WA,King,TESLA,MODEL 3,-122.34848,47.632405
WA,King,HYUNDAI,KONA ELECTRIC,-122.29179,47.43473
WA,King,CHEVROLET,BOLT EV,-122.355145,47.505655
WA,Thurston,POLESTAR,PS2,-122.92145,47.045935
WA,King,CHEVROLET,BOLT EUV,-122.296385,47.71558
WA,Snohomish,TESLA,MODEL X,-122.1713847,48.10433
WA,King,TESLA,MODEL 3,-122.286465,47.476
WA,Clark,BMW,X5,-122.405565,45.59009
WA,King,TESLA,MODEL Y,-122.0313266,47.6285782
WA,King,CHEVROLET,BOLT EV,-122.329075,47.6018
WA,King,TESLA,MODEL Y,-122.34584,47.76726
WA,Kitsap,TESLA,MODEL Y,-122.64177,47.737525
WA,Clark,HYUNDAI,SANTA FE,-122.74291,45.818445
WA,King,TESLA,MODEL Y,-122.16937,47.571015
WA,King,TESLA,MODEL Y,-122.34848,47.632405
WA,King,BMW,X5,-122.0313266,47.6285782
WA,King,TESLA,MODEL Y,-121.999595,47.547635
WA,King,TESLA,MODEL Y,-122.05191,47.357985
WA,King,TESLA,MODEL 3,-122.201905,47.61385
WA,King,KIA,SPORTAGE,-122.0313266,47.6285782
WA,King,TESLA,MODEL 3,-122.197,47.43876
WA,King,TESLA,MODEL X,-122.12302,47.67668
WA,King,TESLA,MODEL 3,-122.201905,47.61385
WA,King,BMW,I4,-122.147385,47.599975
WA,Snohomish,MITSUBISHI,OUTLANDER,-122.1876761,47.820517
WA,King,HYUNDAI,KONA ELECTRIC,-122.29179,47.43473
WA,Kitsap,CHEVROLET,BOLT EV,-122.639265,47.5373
WA,King,CHRYSLER,PACIFICA,-122.29179,47.43473
WA,King,TESLA,MODEL Y,-122.30839,47.610365
WA,King,NISSAN,LEAF,-122.306935,47.62441
WA,King,VOLVO,C40,-122.37275,47.68968
WA,King,TESLA,MODEL Y,-122.0313266,47.6285782
WA,King,RIVIAN,R1S,-122.306935,47.62441
WA,King,TESLA,MODEL Y,-121.9810747,47.7377962
WA,King,JEEP,GRAND CHEROKEE,-122.3223156,47.6402108
WA,King,RIVIAN,R1S,-122.34301,47.659185
WA,King,TESLA,MODEL Y,-122.0313266,47.6285782
WA,King,TESLA,MODEL 3,-122.296385,47.71558
WA,Clark,TESLA,MODEL X,-122.5146473,45.67862
WA,King,RIVIAN,R1S,-122.201905,47.61385
WA,King,TESLA,MODEL Y,-122.319115,47.66132
WA,Thurston,TESLA,MODEL Y,-122.8874781,47.0519573
WA,King,TESLA,MODEL X,-122.03309,47.58153
WA,Clark,TESLA,MODEL Y,-122.53218,45.77945
WA,King,TESLA,MODEL Y,-122.0313266,47.6285782
WA,King,CHRYSLER,PACIFICA,-122.201905,47.61385
WA,King,FORD,MUSTANG MACH-E,-122.12302,47.67668
WA,Clark,KIA,NIRO,-122.5146473,45.67862
WA,King,CHRYSLER,PACIFICA,-122.29179,47.43473
WA,King,TESLA,MODEL Y,-122.111625,47.36078
WA,King,FORD,MUSTANG MACH-E,-122.3175,47.7578146
WA,King,HYUNDAI,IONIQ 5,-122.209285,47.71124
WA,King,HYUNDAI,IONIQ 5,-122.209285,47.71124
WA,Kitsap,TESLA,MODEL 3,-122.5235781,47.6293323
WA,King,KIA,EV6,-122.382425,47.77279
WA,King,TESLA,MODEL 3,-122.15734,47.487175
WA,Snohomish,CHEVROLET,BOLT EV,-122.179458,47.802589
WA,Clark,CHEVROLET,BOLT EV,-122.589388,45.6228731
WA,King,AUDI,Q4,-121.999595,47.547635
WA,King,TESLA,MODEL 3,-122.0313266,47.6285782
WA,Clark,TESLA,MODEL 3,-122.666325,45.641205
WA,King,TESLA,MODEL Y,-122.235475,47.3809
WA,King,TESLA,MODEL 3,-122.147385,47.599975
WA,King,RIVIAN,R1S,-122.209285,47.71124
WA,King,BMW,I4,-122.209285,47.71124
WA,King,FORD,MUSTANG MACH-E,-122.34584,47.76726
WA,King,TESLA,MODEL 3,-121.9810747,47.7377962
WA,Snohomish,TESLA,MODEL Y,-122.2247757,47.9156409
WA,King,TESLA,MODEL 3,-122.363815,47.63046
WA,King,BMW,X5,-122.3219166,47.4013897
WA,King,TESLA,MODEL Y,-122.382425,47.77279
WA,Yakima,TESLA,MODEL 3,-120.26034,46.404935
WA,King,TESLA,MODEL 3,-122.3223156,47.6402108
WA,King,TESLA,MODEL 3,-121.9810747,47.7377962
WA,King,RIVIAN,R1S,-122.306935,47.62441
WA,King,TESLA,MODEL X,-122.12302,47.67668
WA,King,TESLA,MODEL 3,-122.1820969,47.3198995
WA,King,TESLA,MODEL 3,-122.3219166,47.4013897
WA,King,CHEVROLET,BOLT EUV,-122.151665,47.75855
WA,Snohomish,TESLA,MODEL Y,-122.2247757,47.9156409
WA,King,TESLA,MODEL Y,-122.12302,47.67668
WA,King,TESLA,MODEL 3,-122.2509349,47.25013
WA,King,MERCEDES-BENZ,EQE-CLASS SUV,-122.329815,47.57981
WA,Snohomish,TESLA,MODEL 3,-122.1876761,47.820517
WA,Clark,TESLA,MODEL Y,-122.5146473,45.67862
